1,number,Family,Genus,species,sci_name,variant,sugar_concentration,type,europe,north_america,south_america,africa,asia,australia,reference,notes,,,,,,,,,,,,,,,,,,,,
2,1,Rosaceae,Malus,domestica,Malus sp.,NA,42,crop,yes,yes,yes,yes,yes,yes,Butler,C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology,21(1-2),5-12.,,,,,,,,,,,,,,,,,,
3,2,Brassicacae,Raphanus,raphanistrum,Raphanus raphanistrum,NA,40,weed,yes,yes,yes,yes,yes,yes,Butler,C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology,21(1-2),5-12.,,,,,,,,,,,,,,,,,,
4,3,Brassicacae,Brassica,sp,Brassica sp,NA,39,crop,yes,yes,yes,yes,yes,yes,Butler,C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology,21(1-2),5-12.,,,,,,,,,,,,,,,,,,
5,4,Rosaceae,Rubus,idaeus,Rubus idaeus,NA,37,crop,yes,yes,yes,yes,yes,yes,Butler,C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology,21(1-2),5-12.,,,,,,,,,,,,,,,,,,
6,5,Asteraceae,Taraxacum,sp.,Taraxacum sp.,NA,34,weed,yes,yes,yes,yes,yes,yes,Butler,C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology,21(1-2),5-12.,,,,,,,,,,,,,,,,,,
7,6,Fabaceae,Onobrychis,viciiaefolia,Onobrychis viciiaefolia,NA,34,crop,yes,yes,NA,NA,yes,yes,Butler,C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology,21(1-2),5-12.,,,,,,,,,,,,,,,,,,
8,7,Rosaceae,Prunus,cerasus,Prunus cerasus,NA,33,crop,yes,yes,yes,NA,yes,yes,Butler,C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology,21(1-2),5-12.,,,,,,,,,,,,,,,,,,
9,8,Malvaceae,Tilia,platyphyllos,Tilia platyphyllos,NA,31,wild,yes,yes,yes,NA,yes,yes,Butler,C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology,21(1-2),5-12.,,,,,,,,,,,,,,,,,,
10,9,Fabaceae,Trifolium,repens,Trifolium repens,NA,30,crop,yes,yes,yes,yes,yes,yes,Butler,C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology,21(1-2),5-12.,,,,,,,,,,,,,,,,,,
11,10,Rosaceae,Rubus,fructicosus,Rubus fructicosus,NA,28,crop,yes,yes,yes,yes,yes,yes,Butler,C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology,21(1-2),5-12.,,,,,,,,,,,,,,,,,,
12,11,Fabaceae,Lotus,corniculatus,Lotus corniculatus,NA,26,weed,yes,yes,yes,NA,yes,yes,Butler,C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology,21(1-2),5-12.,,,,,,,,,,,,,,,,,,
13,12,Grossulariaceae,Ribes,nigrum,Ribes nigrum,NA,25,crop,yes,yes,NA,NA,yes,yes,Butler,C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology,21(1-2),5-12.,,,,,,,,,,,,,,,,,,
14,13,Rosaceae,Prunus,sp.,Prunus sp.,NA,21,crop,NA,NA,NA,NA,NA,NA,Butler,C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology,21(1-2),5-12.,,,,,,,,,,,,,,,,,,
15,14,Rosaceae,Pyrus,communis,Pyrus communis,NA,15,crop,yes,yes,yes,yes,yes,yes,Butler,C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology,21(1-2),5-12.,,,,,,,,,,,,,,,,,,
16,15,Rosaceae,Crataegus,oxyacantha,Crataegus oxyacantha,NA,13,wild,yes,yes,NA,NA,NA,yes,Butler,C. G. (1945). The influence of various physical and biological factors of the environment on honeybee activity. An examination of the relationship between activity and nectar concentration and abundance. Journal of Experimental Biology,21(1-2),5-12.,,,,,,,,,,,,,,,,,,
17,16,Alstroemeriaceae,Alstroemeria,aurea,Alstroemeria aurea,NA,40,wild,yes,yes,yes,NA,NA,yes,Chalcoff,V. R.,Aizen,M. A.,& Galetto,L. (2005). Nectar concentration and composition of 26 species from the temperate forest of South America. Annals of Botany,97(3),413-421.,,,,,,,,,,,,,,
18,17,Amaryllidaceae,Rhodophiala,mendocina,Rhodophiala mendocina,NA,12,wild,NA,NA,yes,NA,NA,NA,Chalcoff,V. R.,Aizen,M. A.,& Galetto,L. (2005). Nectar concentration and composition of 26 species from the temperate forest of South America. Annals of Botany,97(3),413-421.,,,,,,,,,,,,,,
19,18,Asteraceae,Mutisia,decurrens,Mutisia decurrens,NA,33.5,wild,NA,NA,yes,NA,NA,NA,Chalcoff,V. R.,Aizen,M. A.,& Galetto,L. (2005). Nectar concentration and composition of 26 species from the temperate forest of South America. Annals of Botany,97(3),413-421.,,,,,,,,,,,,,,
20,19,Asteraceae,Mutisia,spinosa,Mutisia spinosa,NA,45.8,wild,NA,NA,yes,NA,NA,NA,Chalcoff,V. R.,Aizen,M. A.,& Galetto,L. (2005). Nectar concentration and composition of 26 species from the temperate forest of South America. Annals of Botany,97(3),413-421.,,,,,,,,,,,,,,
21,20,Asteraceae,Perezia,prenanthoides,Perezia prenanthoides,NA,42.7,wild,NA,NA,yes,NA,NA,NA,Chalcoff,V. R.,Aizen,M. A.,& Galetto,L. (2005). Nectar concentration and composition of 26 species from the temperate forest of South America. Annals of Botany,97(3),413-421.,,,,,,,,,,,,,,
22,21,Berberidaceae,Berberis,darwinii,Berberis darwinii,NA,36.3,weed,yes,yes,NA,NA,NA,yes,Chalcoff,V. R.,Aizen,M. A.,& Galetto,L. (2005). Nectar concentration and composition of 26 species from the temperate forest of South America. Annals of Botany,97(3),413-421.,,,,,,,,,,,,,,
23,22,Fabaceae,Vicia,nigricans,Vicia nigricans,NA,29.5,wild,yes,yes,yes,NA,NA,NA,Chalcoff,V. R.,Aizen,M. A.,& Galetto,L. (2005). Nectar concentration and composition of 26 species from the temperate forest of South America. Annals of Botany,97(3),413-421.,,,,,,,,,,,,,,
24,23,Grossulariaceae,Ribes,magellanicum,Ribes magellanicum,NA,14.5,wild,NA,NA,yes,NA,NA,NA,Chalcoff,V. R.,Aizen,M. A.,& Galetto,L. (2005). Nectar concentration and composition of 26 species from the temperate forest of South America. Annals of Botany,97(3),413-421.,,,,,,,,,,,,,,
25,24,Verbenaceae,Diostea,juncea,Diostea juncea,NA,34.8,wild,NA,NA,yes,NA,NA,NA,Chalcoff,V. R.,Aizen,M. A.,& Galetto,L. (2005). Nectar concentration and composition of 26 species from the temperate forest of South America. Annals of Botany,97(3),413-421.,,,,,,,,,,,,,,
26,25,Fabaceae,Crotalaria,micans,Crotalaria micans,NA,59.4,wild,yes,yes,NA,yes,yes,yes,Gottsberger,G.,Schrauwen,J.,& Linskens,H. F. (1984). Amino acids and sugars in nectar,and their putative evolutionary significance. Plant Systematics and Evolution,145(1-2),55-77.,,,,,,,,,,,,,
27,26,Malvaceae,Eriotheca,gracilipes,Eriotheca gracilipes,NA,44.8,wild,NA,NA,yes,NA,NA,NA,Gottsberger,G.,Schrauwen,J.,& Linskens,H. F. (1984). Amino acids and sugars in nectar,and their putative evolutionary significance. Plant Systematics and Evolution,145(1-2),55-77.,,,,,,,,,,,,,
28,27,Bignoniaceae,Anemopaegma,laevis,Anemopaegma laevis,NA,31.3,wild,NA,NA,NA,NA,NA,NA,Gottsberger,G.,Schrauwen,J.,& Linskens,H. F. (1984). Amino acids and sugars in nectar,and their putative evolutionary significance. Plant Systematics and Evolution,145(1-2),55-77.,,,,,,,,,,,,,
29,28,Costaceae,Gossypium,barbadense,Gossypium barbadense,pima,52.9,crop,yes,yes,yes,yes,yes,yes,Gottsberger,G.,Schrauwen,J.,& Linskens,H. F. (1984). Amino acids and sugars in nectar,and their putative evolutionary significance. Plant Systematics and Evolution,145(1-2),55-77.,,,,,,,,,,,,,
30,29,Bignoniaceae,Amphilophium,elongata,Amphilophium elongata,NA,40.6,wild,NA,yes,yes,NA,NA,NA,Gottsberger,G.,Schrauwen,J.,& Linskens,H. F. (1984). Amino acids and sugars in nectar,and their putative evolutionary significance. Plant Systematics and Evolution,145(1-2),55-77.,,,,,,,,,,,,,
31,30,Passifloraceae,Passiflora,alata,Passiflora alata,NA,62.9,crop,NA,yes,yes,yes,NA,NA,Gottsberger,G.,Schrauwen,J.,& Linskens,H. F. (1984). Amino acids and sugars in nectar,and their putative evolutionary significance. Plant Systematics and Evolution,145(1-2),55-77.,,,,,,,,,,,,,
32,31,Gesneriaceae,Sinningia,aghensis,Sinningia aghensis,NA,18.3,wild,NA,NA,yes,NA,NA,NA,Perret,M.,Chautems,A.,Spichiger,R.,Peixoto,M.,& Savolainen,V. (2001). Nectar sugar composition in relation to pollination syndromes in Sinningieae (Gesneriaceae). Annals of Botany,87(2),267-273.,,,,,,,,,,
33,32,Gesneriaceae,Sinningia,conspicua,Sinningia conspicua,NA,32.5,wild,NA,NA,yes,NA,NA,NA,Perret,M.,Chautems,A.,Spichiger,R.,Peixoto,M.,& Savolainen,V. (2001). Nectar sugar composition in relation to pollination syndromes in Sinningieae (Gesneriaceae). Annals of Botany,87(2),267-273.,,,,,,,,,,
34,33,Gesneriaceae,Sinningia,eumorpha,Sinningia eumorpha,NA,31.1,wild,NA,NA,yes,NA,NA,NA,Perret,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
